Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD Athlon 64 3500+;CPU;2007-02-20;650;450;770;1220;22000;Unknown;AMD;;;
AMD Athlon 200GE;CPU;2018-09-06;140;350;1920;48000;32000;Unknown;AMD;;;
Intel Core i5-1145G7;CPU;2020-09-02;100;280;;;26000;Intel;Intel;;;
Intel Xeon E5-2603 v2;CPU;2013-09-01;220;800;1600;14000;18000;Intel;Intel;;;
AMD Phenom II X4 980 BE;CPU;2011-05-03;450;1250;2580;7580;37000;Unknown;AMD;;;
Intel Xeon E5-2470 v2;CPU;2013-09-01;220;950;1600;14000;24000;Intel;Intel;;;
AMD Phenom X4 9750 (125W);CPU;2008-03-27;650;1250;2850;4500;24000;Unknown;AMD;;;
Intel Pentium D 930;CPU;2006-01-16;650;1300;1400;3760;30000;Intel;Intel;;;
Intel Core i3-1125G4;CPU;2020-09-02;100;280;;;20000;Intel;Intel;;;
AMD Athlon 64 X2 4200+;CPU;2006-05-23;900;890;1560;1540;22000;Unknown;AMD;;;
AMD Sempron 2800+;CPU;2004-08-01;1300;620;800;370;19920;Unknown;AMD;;;
Intel Core i7-3632QM;CPU;2012-10-19;220;350;1600;14800;22000;Intel;Intel;;;
AMD C-70;CPU;2012-09-01;400;90;750;;10000;Unknown;AMD;;;
Intel Core i5-8269U;CPU;2018-04-05;140;280;1230;;26000;Intel;Intel;;;
AMD Phenom X4 9600 BE;CPU;2007-12-19;650;950;2850;4500;23000;Unknown;AMD;;;
Intel Pentium 3560Y;CPU;2013-09-01;220;120;1180;14000;12000;Intel;Intel;;;
AMD Turion X2 Ultra ZM-84;CPU;2008-09-01;650;350;;;23000;Unknown;AMD;;;
Intel Pentium 4 506;CPU;2005-06-01;900;840;1090;1250;26600;Intel;Intel;;;
Intel Xeon E5-2430 v2;CPU;2013-09-01;220;800;1600;14000;25000;Intel;Intel;;;
AMD Athlon 64 X2 4800+;CPU;2006-05-23;900;1100;1990;2330;24000;Unknown;AMD;;;
Intel Core i5-3427U;CPU;2012-06-01;220;170;1180;;18000;Intel;Intel;;;
AMD Opteron 148 HE;CPU;2004-12-01;900;550;;1060;22000;Unknown;AMD;;;
AMD Athlon 1100;CPU;2000-08-14;1800;600;1200;370;11000;Unknown;AMD;;;
Intel Core i7-975;CPU;2009-06-02;450;1300;2630;7310;33330;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2001-01-01;900;670;1150;1050;22000;Unknown;AMD;;;
Intel Pentium 4 HT 672;CPU;2005-11-14;900;840;1090;1690;38000;Intel;Intel;;;
Intel Pentium D 830;CPU;2005-05-26;900;1300;2060;1690;30000;Intel;Intel;;;
AMD EPYC 7371;CPU;2018-11-16;140;1700;2130;48000;31000;GF;AMD;;;
Intel Pentium 4 HT 550;CPU;2004-06-21;900;1150;1090;1250;34000;Intel;Intel;;;
Intel Pentium III 1266S;CPU;2001-07-01;1300;300;800;440;12660;Intel;Intel;;;
AMD Sempron 140;CPU;2009-07-22;450;450;1170;2340;27000;Unknown;AMD;;;
AMD EPYC 7501;CPU;2017-06-29;140;1700;2130;48000;20000;GF;AMD;;;
Intel Atom E680;CPU;2010-09-14;450;40;260;470;16000;Intel;Intel;;;
Intel Xeon E5-2690 v2;CPU;2013-09-01;220;1300;1600;14000;30000;Intel;Intel;;;
Intel Xeon Platinum 8380;CPU;2021-04-06;100;2700;;;23000;Intel;Intel;;;
Intel Xeon Phi 7120A;CPU;2014-04-06;220;3000;3500;50000;12380;Intel;Intel;;;
Intel Core i3-8020;CPU;2018-09-01;140;650;;;37000;Intel;Intel;;;
Intel Atom S1220;CPU;2012-12-11;320;80;;;16000;Intel;Intel;;;
AMD Phenom X4 9600;CPU;2007-11-19;650;950;2850;4500;23000;Unknown;AMD;;;
Intel Core i3-2330M;CPU;2011-06-01;320;350;1490;6240;22000;Intel;Intel;;;
AMD Opteron X2 180;CPU;2005-09-26;900;1100;;2330;24000;Unknown;AMD;;;
AMD E2-3200;CPU;2011-09-07;320;650;2280;11780;24000;Unknown;AMD;;;
AMD Turion 64 MT-34;CPU;2005-03-10;900;250;1250;1140;18000;Unknown;AMD;;;
Intel Pentium III  866;CPU;2001-06-01;1800;380;800;440;8660;Intel;Intel;;;
Intel Core 2 Quad Q9550S;CPU;2009-01-27;450;650;1070;8200;28330;Intel;Intel;;;
Intel Core i7-4500U;CPU;2013-06-04;220;150;1180;13000;18000;Intel;Intel;;;
AMD Opteron X2 185;CPU;2006-03-06;900;1100;;2330;26000;Unknown;AMD;;;
Intel Core i3-8300;CPU;2018-02-14;140;620;;;37000;Intel;Intel;;;
AMD Ryzen 5 1400;CPU;2017-04-11;140;650;1920;48000;32000;GF;AMD;;;
AMD A4-3300M;CPU;2011-06-14;320;350;2280;11780;19000;Unknown;AMD;;;
Intel Xeon 3.20;CPU;2003-10-06;1300;970;2370;2860;32000;Intel;Intel;;;
AMD Opteron 848;CPU;2004-12-01;900;850;;1060;22000;Unknown;AMD;;;
Intel Core 2 Extreme QX6700;CPU;2006-11-01;650;1300;1430;5820;26660;Intel;Intel;;;
Intel Pentium Gold G6405T;CPU;2021-03-16;140;350;;;35000;Intel;Intel;;;
AMD A6-3600;CPU;2011-06-30;320;650;2280;11780;21000;Unknown;AMD;;;
Intel Xeon Phi 7120X;CPU;2013-06-17;220;3000;3500;50000;12380;Intel;Intel;;;
Intel Core i9-10900K;CPU;2020-04-30;140;1250;2060;;37000;Intel;Intel;;;
Intel Pentium 2129Y;CPU;2012-09-01;220;100;1180;14000;11000;Intel;Intel;;;
AMD Athlon 64 X2 5600+;CPU;2006-12-12;900;890;2200;2270;28000;Unknown;AMD;;;
AMD Athlon II X4 640;CPU;2010-05-11;450;950;1690;3000;30000;Unknown;AMD;;;
Intel Atom Z515;CPU;2009-04-08;450;10;260;470;12000;Intel;Intel;;;
AMD EPYC 7302;CPU;2019-08-07;70;1550;740;38000;30000;TSMC;AMD;;;
Intel Celeron 3205U;CPU;2015-03-01;140;150;;;15000;Intel;Intel;;;
Intel Core i3-10305T;CPU;2021-03-16;140;350;;;30000;Intel;Intel;;;
AMD Ryzen 9 5900HX;CPU;2021-01-12;70;450;1560;98000;33000;TSMC;AMD;;;
AMD EPYC 7502;CPU;2019-08-07;70;1800;740;38000;25000;TSMC;AMD;;;
AMD Athlon 64 4000+;CPU;2007-02-20;900;620;2300;2270;26000;Unknown;AMD;;;
Intel Pentium III 1400S;CPU;2002-01-08;1300;320;800;440;14000;Intel;Intel;;;
Intel Core i7-9850HE;CPU;NaT;140;450;1490;;27000;Intel;Intel;;;
AMD Mobile Athlon 64 3400+;CPU;2005-08-01;1300;820;1930;1060;22000;Unknown;AMD;;;
Intel Xeon E5-2620 v2;CPU;2013-09-01;220;800;1600;14000;21000;Intel;Intel;;;
Intel Core i9-10850K;CPU;2020-07-27;140;1250;2060;;36000;Intel;Intel;;;
Intel Core i5-11600;CPU;2021-03-16;140;650;;;28000;Intel;Intel;;;
Intel Core i7-3555LE;CPU;2012-06-03;220;250;1180;;25000;Intel;Intel;;;
Intel Xeon E3-1220L v2;CPU;2012-05-14;220;170;;;23000;Intel;Intel;;;
Intel Core i3-8130U;CPU;2018-02-13;140;150;1230;;24000;Intel;Intel;;;
Intel Xeon Platinum 8260;CPU;2018-12-11;140;1650;;80000;24000;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2005-05-31;900;670;1560;1540;22000;Unknown;AMD;;;
AMD Ryzen 9 5950X;CPU;2020-11-05;70;1050;;;34000;TSMC;AMD;;;
Intel Atom N2600;CPU;2011-12-01;320;40;660;1760;16000;Intel;Intel;;;
Intel Xeon Platinum 8352M;CPU;2021-04-06;100;1850;;;23000;Intel;Intel;;;
AMD EPYC 7763;CPU;2021-03-15;70;2800;;;24500;TSMC;AMD;;;
Intel Core i7-8809G;CPU;2018-02-01;140;650;;;31000;Intel;Intel;;;
AMD Ryzen Threadripper PRO 3955WX;CPU;2020-07-14;70;2800;740;38000;39000;TSMC;AMD;;;
Intel Celeron 2980U;CPU;2013-09-01;220;150;1180;14000;16000;Intel;Intel;;;
AMD Athlon 64 X2 4000+;CPU;2006-05-23;900;890;2200;1540;20000;Unknown;AMD;;;
Intel Xeon E5-2630L v2;CPU;2013-09-01;220;600;1600;14000;24000;Intel;Intel;;;
Intel Core i5-3570;CPU;2012-06-01;220;770;1330;;34000;Intel;Intel;;;
AMD Ryzen 7 3750H;CPU;2019-01-06;120;350;2100;49400;23000;GF;AMD;;;
Intel A110;CPU;2007-06-01;900;30;660;1760;8000;Intel;Intel;;;
AMD Ryzen 5 5500U;CPU;2021-01-12;70;250;1560;98000;21000;TSMC;AMD;;;
Intel Core i9-10800F;CPU;2020-04-30;140;650;;;27000;Intel;Intel;;;
Intel Xeon MP 3.50;CPU;2005-03-29;900;1350;;;35000;Intel;Intel;;;
Intel Core i3-10110U;CPU;2019-08-21;140;250;;;21000;Intel;Intel;;;
Intel Core i3-10305;CPU;2021-03-16;140;650;;;38000;Intel;Intel;;;
Intel Core Solo T1350;CPU;2006-01-05;650;270;900;1510;18660;Intel;Intel;;;
AMD A4-5300B;CPU;2012-10-02;320;650;2460;11780;34000;Unknown;AMD;;;
Intel Core Duo T2600;CPU;2006-01-05;650;310;900;1510;21660;Intel;Intel;;;
Intel Pentium G4500;CPU;2015-09-01;140;510;1500;14000;35000;Intel;Intel;;;
AMD A8-5600K;CPU;2012-10-02;320;1000;2460;11780;36000;Unknown;AMD;;;
AMD Athlon XP 2600+;CPU;2002-10-01;1300;680;800;370;21330;Unknown;AMD;;;
AMD Athlon 64 3000+;CPU;2003-12-15;1300;890;1930;690;20000;Unknown;AMD;;;
Intel Pentium D 945;CPU;2006-07-23;650;950;1400;3760;34000;Intel;Intel;;;
Intel Celeron B800;CPU;2011-06-19;320;350;1310;5040;15000;Intel;Intel;;;
Intel Atom E665C;CPU;2010-11-22;450;40;260;470;13000;Intel;Intel;;;
AMD E1-2150;CPU;2014-02-01;320;90;2460;11780;10500;Unknown;AMD;;;
Intel Core i5-10210U;CPU;2019-08-21;140;250;;;16000;Intel;Intel;;;
AMD Athlon Gold 3150G;CPU;2020-07-21;120;650;;;35000;GF;AMD;;;
Intel Celeron 2.70;CPU;2003-09-24;1300;730;1460;550;27000;Intel;Intel;;;
Intel Xeon Gold 5318N;CPU;2021-04-06;100;1500;;;21000;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2007-02-20;900;620;2300;2270;22000;Unknown;AMD;;;
AMD Sempron 3400+ EE SFF;CPU;2006-05-23;900;350;1030;810;18000;Unknown;AMD;;;
Intel Core i7-3525M;CPU;2012-11-01;220;350;1600;14800;29000;Intel;Intel;;;
AMD A6-3410MX;CPU;2011-06-14;320;450;2280;11780;16000;Unknown;AMD;;;
Intel Core i5-450M;CPU;2010-09-26;320;350;810;3820;24000;Intel;Intel;;;
AMD Opteron A1150;CPU;2016-01-14;280;320;;;17000;Unknown;AMD;;;
Intel Pentium G3430;CPU;2013-09-01;220;540;1770;14000;33000;Intel;Intel;;;
Intel Core i7-10610U;CPU;2020-04-02;140;250;;;18000;Intel;Intel;;;
Intel Core i5-4210U;CPU;2014-04-14;220;150;1180;14000;17000;Intel;Intel;;;
Intel Core 2 Duo E6420;CPU;2007-04-01;650;650;1110;1670;21330;Intel;Intel;;;
AMD Athlon XP 1900+;CPU;2001-11-05;1800;680;1500;370;16000;Unknown;AMD;;;
Intel Pentium III 1400;CPU;2001-12-01;1300;310;800;440;14000;Intel;Intel;;;
AMD Athlon 64 3000+;CPU;2005-04-14;1300;620;;1050;18000;Unknown;AMD;;;
Intel Xeon E3-1290 v2;CPU;2012-05-14;220;870;1600;14000;37000;Intel;Intel;;;
AMD Phenom X3 8550;CPU;2008-04-23;650;950;2850;4500;22000;Unknown;AMD;;;
Intel Core i5-8600K;CPU;2017-10-05;140;950;;;36000;Intel;Intel;;;
Intel Xeon Platinum 8356H;CPU;2021-04-06;140;1900;;;39000;Intel;Intel;;;
AMD Athlon XP 2200+;CPU;2002-06-10;1300;680;800;370;18000;Unknown;AMD;;;
AMD Athlon Silver PRO 3125GE;CPU;2020-07-21;120;350;;;34000;GF;AMD;;;
Intel Mobile Pentium 4 HT 538;CPU;2004-06-01;900;880;1120;1250;32000;Intel;Intel;;;
Intel Core i7-8700;CPU;2018-01-01;140;650;1540;;32000;Intel;Intel;;;
Intel Pentium Dual-Core E2220;CPU;2008-03-02;650;650;770;1050;24000;Intel;Intel;;;
AMD Ryzen 5 4600U;CPU;2020-01-06;70;250;1560;98000;21000;TSMC;AMD;;;
AMD Ryzen Threadripper 2970WX;CPU;2018-10-02;120;2500;2130;192000;30000;GF;AMD;;;
AMD Opteron X2 875 HE;CPU;2006-02-01;900;550;;2330;22000;Unknown;AMD;;;
Intel Atom Z605;CPU;2010-05-04;450;20;650;1400;10000;Intel;Intel;;;
Intel Xeon Platinum 8351N;CPU;2021-04-06;100;2250;;;24000;Intel;Intel;;;
Intel Atom N475;CPU;2010-06-01;450;70;660;1230;18340;Intel;Intel;;;
Intel Core i5-3350P;CPU;2012-09-03;220;690;1330;;31000;Intel;Intel;;;
Intel Xeon E5-1660 v2;CPU;2013-09-01;220;1300;1600;14000;37000;Intel;Intel;;;
AMD Sempron 3300+;CPU;2005-07-15;900;620;;690;20000;Unknown;AMD;;;
AMD Ryzen 5 PRO 2600;CPU;2018-09-19;120;650;1920;48000;34000;GF;AMD;;;
AMD Phenom X4 9450e;CPU;2008-10-01;650;650;2850;4500;21000;Unknown;AMD;;;
AMD A4-3420;CPU;2011-12-20;320;650;2280;11780;28000;Unknown;AMD;;;
Intel Pentium 4 1.80;CPU;2001-08-27;1800;670;2170;420;18000;Intel;Intel;;;
AMD Opteron 248;CPU;2004-12-01;900;850;;1060;22000;Unknown;AMD;;;
Intel Pentium 4 506;CPU;2005-06-01;900;840;1090;1250;26600;Intel;Intel;;;
Intel Core i7-3840QM;CPU;2012-09-03;220;450;1600;14000;28000;Intel;Intel;;;
Intel Pentium 4 2.53;CPU;2002-05-06;1300;1100;1460;550;25270;Intel;Intel;;;
Intel Mobile Pentium 4 2.40;CPU;2003-06-11;1300;600;1310;550;24000;Intel;Intel;;;
Intel Xeon Phi 7110P;CPU;2012-11-12;220;3000;3500;50000;12500;Intel;Intel;;;
Intel Core i3-7300;CPU;2017-01-03;140;510;;;40000;Intel;Intel;;;
Intel Core i7-3520M;CPU;2012-06-03;220;350;1180;;29000;Intel;Intel;;;
AMD Turion 64 MT-30;CPU;2005-03-10;900;220;1250;1140;16000;Unknown;AMD;;;
AMD Sempron LE-1300;CPU;2007-10-08;650;450;;;23000;Unknown;AMD;;;
Intel Atom Z625;CPU;2010-05-04;450;20;650;1400;19000;Intel;Intel;;;
Intel Core i5-4200U;CPU;2013-06-04;220;150;1180;14000;16000;Intel;Intel;;;
Intel Pentium E5700;CPU;2010-08-08;450;650;820;2280;30000;Intel;Intel;;;
Intel Core i3-3110M;CPU;2012-06-01;220;350;1180;;24000;Intel;Intel;;;
Intel Pentium G3420T;CPU;2013-09-01;220;350;1770;14000;27000;Intel;Intel;;;
AMD E1-1500;CPU;2013-01-06;400;180;750;;14800;Unknown;AMD;;;
AMD A10-9700E;CPU;2017-07-27;280;350;2460;11780;30000;Unknown;AMD;;;
Intel Pentium 4-M 2.00;CPU;2002-06-24;1300;320;1310;550;20000;Intel;Intel;;;
Intel Xeon E5620;CPU;2010-03-16;320;800;2390;11700;24000;Intel;Intel;;;
Intel Core i3-3120M;CPU;2012-09-30;220;350;1180;;25000;Intel;Intel;;;
AMD Opteron 6274;CPU;2011-11-14;320;1150;3160;24000;22000;Unknown;AMD;;;
AMD Ryzen 7 1800X;CPU;2017-03-02;140;950;1920;48000;36000;GF;AMD;;;
Intel Core i3-3120ME;CPU;2012-08-01;220;350;1180;;24000;Intel;Intel;;;
AMD Ryzen 3 3200U;CPU;2019-01-06;120;150;2100;49400;26000;GF;AMD;;;
Intel Xeon E-2124G;CPU;2018-05-31;140;720;1260;14000;34000;Intel;Intel;;;
AMD Athlon 700;CPU;2000-06-05;1800;400;1200;370;7000;Unknown;AMD;;;
AMD Athlon 64 2700+;CPU;2004-04-27;1300;320;1440;690;16000;Unknown;AMD;;;
AMD Ryzen 7 2700X;CPU;2018-04-19;120;1050;1920;48000;37000;GF;AMD;;;
AMD Ryzen Embedded V1807B;CPU;2018-02-21;140;450;2100;49500;33500;GF;AMD;;;
AMD Athlon II X3 415e;CPU;2010-05-11;450;450;1690;3000;25000;Unknown;AMD;;;
Intel Core i5-2310;CPU;2011-05-22;320;950;2160;11600;29000;Intel;Intel;;;
AMD FX-8320;CPU;2012-10-23;320;1250;3150;12000;35000;Unknown;AMD;;;
Intel Core i7-10700K;CPU;2020-04-30;140;1250;;;38000;Intel;Intel;;;
AMD Opteron 6386 SE;CPU;2012-11-05;320;1400;3150;24000;28000;Unknown;AMD;;;
AMD Opteron X2 875;CPU;2005-09-26;900;950;;2330;22000;Unknown;AMD;;;
Intel Celeron 877;CPU;2012-07-01;320;170;1310;5040;14000;Intel;Intel;;;
AMD Phenom II X6 1100T BE;CPU;2010-12-07;450;1250;3460;9040;33000;Unknown;AMD;;;
Intel Core i3-5157U;CPU;2015-03-01;140;280;;;25000;Intel;Intel;;;
Intel Core i3-4130;CPU;2013-09-01;220;540;1770;14000;34000;Intel;Intel;;;
Intel Core i7-3910K;CPU;2013-07-24;320;1300;4350;22700;30000;Intel;Intel;;;
Intel Core i7-3632QM;CPU;2012-10-19;220;350;1600;14800;22000;Intel;Intel;;;
Intel Core i7-8670T;CPU;2018-09-01;140;350;;;23000;Intel;Intel;;;
AMD Opteron 144;CPU;2005-08-02;900;670;;1060;18000;Unknown;AMD;;;
Intel Core i7-5650U;CPU;2015-03-01;140;150;;;22000;Intel;Intel;;;
Intel Pentium 4 HT 515;CPU;2001-01-01;900;840;1090;1250;29330;Intel;Intel;;;
AMD Opteron 242;CPU;2004-05-18;1300;820;1930;1060;16000;Unknown;AMD;;;
Intel Core i5-7600;CPU;2017-01-03;140;650;;;35000;Intel;Intel;;;
Intel Xeon 2.8;CPU;2005-10-10;900;1350;2130;2000;28000;Intel;Intel;;;
Intel Core 2 Duo E7600;CPU;2009-05-10;450;650;820;2280;30670;Intel;Intel;;;
Intel Core i7-9700K;CPU;2018-10-19;140;950;;;36000;Intel;Intel;;;
AMD Phenom II X4 910;CPU;2009-02-09;450;950;2580;7580;26000;Unknown;AMD;;;
AMD EPYC 73F3;CPU;2021-03-15;70;2400;;;35000;TSMC;AMD;;;
AMD Sempron 2500+;CPU;2004-07-28;1300;620;800;370;17500;Unknown;AMD;;;
Intel Pentium G3450;CPU;2014-05-01;220;540;1770;14000;33000;Intel;Intel;;;
AMD EPYC 7601;CPU;2017-06-29;140;1800;2130;48000;22000;GF;AMD;;;
Intel Xeon E7-8860 v3;CPU;2015-06-01;220;1400;1600;14000;22000;Intel;Intel;;;
Intel Xeon 5140;CPU;2006-06-26;650;650;;;23330;Intel;Intel;;;
AMD Phenom X4 9850 BE;CPU;2008-03-27;650;1250;2850;4500;25000;Unknown;AMD;;;
AMD Ryzen 3 3100;CPU;2020-04-24;70;650;740;38000;36000;TSMC;AMD;;;
Intel Core i7-4940MX;CPU;2014-01-20;220;570;1770;14000;31000;Intel;Intel;;;
Intel Core 2 Quad Q6600 (105W);CPU;2007-01-07;650;1050;1430;5820;24000;Intel;Intel;;;
AMD Athlon 64 FX-62;CPU;2006-05-23;900;1250;2200;2430;28000;Unknown;AMD;;;
AMD Athlon X2 7750 BE;CPU;2008-12-15;650;950;2850;4500;27000;Unknown;AMD;;;
Intel Core i7-3740QM;CPU;2012-09-03;220;450;1600;14000;27000;Intel;Intel;;;
Intel Core i3-4150T;CPU;2014-05-01;220;350;1770;14000;29000;Intel;Intel;;;
Intel Atom N570;CPU;2011-03-01;450;90;870;1760;16670;Intel;Intel;;;
Intel Core 2 Duo T7300;CPU;2006-07-27;650;350;1430;2930;20000;Intel;Intel;;;
Intel Atom E645C;CPU;2010-11-22;450;40;260;470;10000;Intel;Intel;;;
Intel Core i7-5820K;CPU;2014-09-01;220;1400;3560;26000;33000;Intel;Intel;;;
Intel Celeron E3400;CPU;2010-01-17;450;650;820;2280;26000;Intel;Intel;;;
AMD FX-6120;CPU;2012-10-23;320;950;3150;12000;36000;Unknown;AMD;;;
Intel Pentium G632;CPU;2011-09-04;320;650;1310;5040;27000;Intel;Intel;;;
Intel Pentium 4 HT 531;CPU;2005-06-12;900;840;1090;1250;30000;Intel;Intel;;;
AMD Opteron 248 HE;CPU;2005-03-01;900;550;;1060;22000;Unknown;AMD;;;
AMD Opteron X2 290;CPU;2006-01-01;900;950;;2330;28000;Unknown;AMD;;;
Intel Pentium 4 HT 3.20;CPU;2003-06-23;1300;820;1310;550;32000;Intel;Intel;;;
AMD Athlon II X4 610e;CPU;2010-05-11;450;450;1690;3000;24000;Unknown;AMD;;;
Intel Core i3-3110M;CPU;2012-06-01;220;350;1180;;24000;Intel;Intel;;;
Intel Core i7-5550U;CPU;2015-03-01;140;150;;;20000;Intel;Intel;;;
AMD Sempron 2800+;CPU;2006-05-23;900;620;1030;810;16000;Unknown;AMD;;;
AMD FX-9590;CPU;2013-07-06;320;2200;3150;12000;47000;Unknown;AMD;;;
Intel Pentium 4 2.0;CPU;2002-01-07;1300;920;1460;1250;20000;Intel;Intel;;;
AMD EPYC 7443P;CPU;2021-03-15;70;2000;;;28500;TSMC;AMD;;;
Intel Celeron G1620T;CPU;2013-09-01;220;350;940;;24000;Intel;Intel;;;
AMD Phenom II X6 1055T (95W);CPU;2010-05-01;450;950;3460;9040;28000;Unknown;AMD;;;
AMD A4-4000;CPU;2013-06-01;320;650;2460;11780;30000;Unknown;AMD;;;
AMD Phenom X4 9650;CPU;2008-03-27;650;950;2850;4500;23000;Unknown;AMD;;;
AMD Athlon XP 2600+;CPU;2003-09-01;1300;680;;630;20830;Unknown;AMD;;;
Intel Core i5-4350U;CPU;2013-06-04;220;150;1180;14000;14000;Intel;Intel;;;
AMD Ryzen Threadripper 1900X;CPU;2017-08-31;140;1250;2130;96000;38000;GF;AMD;;;
Intel Celeron B820;CPU;2012-07-01;320;350;1310;5040;17000;Intel;Intel;;;
Intel Xeon W3670;CPU;2010-08-29;320;1300;2390;11700;32000;Intel;Intel;;;
Intel Core i7-7740X;CPU;2017-06-26;140;1120;;;43000;Intel;Intel;;;
Intel Core i7-4610M;CPU;2014-02-01;220;370;1180;13000;30000;Intel;Intel;;;
AMD Opteron 6282 SE;CPU;2011-11-14;320;1400;3160;24000;26000;Unknown;AMD;;;
Intel Celeron N2805;CPU;2013-09-11;220;40;;;14630;Intel;Intel;;;
Intel Pentium 4 HT 631;CPU;2006-01-05;650;860;810;1880;30000;Intel;Intel;;;
Intel Xeon L5609;CPU;2010-03-16;320;400;2390;11700;18660;Intel;Intel;;;
AMD Phenom II X3 715 BE;CPU;2010-10-01;450;950;2580;7580;28000;Unknown;AMD;;;
Intel Core i5-8420T;CPU;2018-09-01;140;350;;;18000;Intel;Intel;;;
AMD Opteron 152;CPU;2005-08-02;900;1040;;1060;26000;Unknown;AMD;;;
AMD Sempron 3400+;CPU;2006-01-23;900;620;;690;20000;Unknown;AMD;;;
Intel Xeon E5603;CPU;2011-02-14;320;800;2390;11700;16000;Intel;Intel;;;
Intel Pentium G2100T;CPU;2012-09-03;220;350;940;;26000;Intel;Intel;;;
AMD Sempron 2600+;CPU;2004-07-28;900;620;;630;16000;Unknown;AMD;;;
Intel Pentium 4 HT 660;CPU;2005-02-20;900;840;1090;1690;36000;Intel;Intel;;;
AMD Athlon Gold PRO 3150GE;CPU;2020-07-21;120;350;;;35000;GF;AMD;;;
Intel Core i7-10750H;CPU;2020-04-02;140;450;;;26000;Intel;Intel;;;
Intel Celeron 887;CPU;2012-09-01;320;170;1310;5040;15000;Intel;Intel;;;
AMD A8-3550MX;CPU;2011-12-20;320;450;2280;11780;20000;Unknown;AMD;;;
Intel Xeon E-2124;CPU;2018-05-31;140;720;1260;14000;34000;Intel;Intel;;;
AMD Phenom II X4 830;CPU;2009-09-01;450;950;2580;7580;28000;Unknown;AMD;;;
AMD Athlon II X2 250;CPU;2009-06-02;450;650;1170;4100;30000;Unknown;AMD;;;
AMD FX-6200;CPU;2012-02-27;320;1250;3150;12000;38000;Unknown;AMD;;;
AMD Opteron 848;CPU;2004-05-18;1300;890;1930;1060;22000;Unknown;AMD;;;
AMD Phenom X4 9350e;CPU;2008-07-01;650;650;2850;4500;20000;Unknown;AMD;;;
Intel Pentium B980;CPU;2012-09-01;320;350;1310;5040;24000;Intel;Intel;;;
AMD Athlon II X4 635;CPU;2010-01-25;450;950;1690;3000;29000;Unknown;AMD;;;
Intel Celeron B810;CPU;2011-03-01;320;350;1310;5040;16000;Intel;Intel;;;
Intel A100;CPU;2007-06-01;900;30;660;1760;6000;Intel;Intel;;;
AMD Opteron X1150;CPU;2013-05-29;280;170;;;20000;Unknown;AMD;;;
Intel Core i9-9820X;CPU;2018-10-19;140;1650;;;33000;Intel;Intel;;;
AMD A12-9800E;CPU;2017-07-27;280;350;2460;11780;31000;Unknown;AMD;;;
Intel Xeon Phi SE10P;CPU;2012-11-12;220;3000;3500;50000;11000;Intel;Intel;;;
Intel Core 2 Duo E6750;CPU;2007-07-01;650;650;1430;2910;26670;Intel;Intel;;;
Intel Core i7-990X;CPU;2011-02-24;320;1300;2390;11700;34660;Intel;Intel;;;
Intel Core i5-9400;CPU;2018-10-19;140;650;;;29000;Intel;Intel;;;
Intel Core 2 Duo E4300;CPU;2006-07-27;650;650;1110;1670;18000;Intel;Intel;;;
AMD A4-1250;CPU;2013-05-23;320;80;2460;11780;10000;Unknown;AMD;;;
Intel Pentium 4 HT 2.80;CPU;2003-05-21;1300;700;1310;550;28000;Intel;Intel;;;
AMD Ryzen 7 1700X;CPU;2017-03-02;140;950;1920;48000;34000;GF;AMD;;;
AMD A6-3650;CPU;2011-06-30;320;1000;2280;11780;26000;Unknown;AMD;;;
AMD Ryzen Embedded V1605B;CPU;2018-02-21;140;150;2100;49500;20000;GF;AMD;;;
Intel Pentium 4 HT 620;CPU;2005-02-20;900;840;1350;1690;28000;Intel;Intel;;;
Intel Core 2 Duo T5600;CPU;2006-07-27;650;350;1430;;18330;Intel;Intel;;;
AMD Athlon 64 LE-1640;CPU;2009-01-07;900;450;30;1540;26000;Unknown;AMD;;;
AMD Sempron 2800+;CPU;2004-07-28;900;250;;630;16000;Unknown;AMD;;;
AMD A10-5800B;CPU;2012-10-02;320;1000;2460;11780;38000;Unknown;AMD;;;
Intel Core Solo T1200;CPU;2006-01-05;650;270;900;1510;15000;Intel;Intel;;;
Intel Xeon Phi 7285;CPU;2017-12-01;140;2500;;80000;13000;Intel;Intel;;;
AMD Athlon 64 3800+;CPU;2004-06-01;1300;890;1440;690;24000;Unknown;AMD;;;
Intel Xeon Phi 31S1P;CPU;2013-06-17;220;2700;3500;50000;11000;Intel;Intel;;;
AMD Opteron 144;CPU;2005-08-02;900;670;;1060;18000;Unknown;AMD;;;
Intel Xeon MP 7040 Dual-Core;CPU;2005-12-01;900;1350;2130;2000;30000;Intel;Intel;;;
Intel Pentium 4 2.80;CPU;2002-08-25;1300;1100;1460;550;27930;Intel;Intel;;;
AMD Phenom II X2 B57;CPU;2010-05-11;450;800;2580;7580;32000;Unknown;AMD;;;
Intel Celeron G1840T;CPU;2014-05-01;220;540;1770;14000;25000;Intel;Intel;;;
Intel Core i3-3120M;CPU;2012-09-30;220;350;1180;;25000;Intel;Intel;;;
